char_code,currency_name,year,observations,mean_rate_rub,median_rate_rub,min_rate_rub,max_rate_rub,first_rate_rub,last_rate_rub,std_rate_rub,mean_abs_daily_return_pct,max_abs_daily_return_pct,annualized_volatility_pct,extreme_return_days,annual_return_pct,rate_range_pct,gdp_growth_pct,inflation_consumer_prices_pct,official_exchange_rate_lcu_per_usd
CNY,Юань,2017,247,8.637479109311741,8.70629,8.105039999999999,9.08733,8.63716,8.84497,0.25916800786208416,0.48314632288504405,2.3889353103028865,9.799197235165206,0,2.4059991941795644,12.119496017292963,1.82579006401834,3.68333072334495,58.3428011851719
CNY,Юань,2018,247,9.491904251012144,9.5664,8.72653,10.1946,8.7489,10.0997,0.362953776033166,0.5664086938313467,6.737321190754275,13.6674308152718,2,15.43965527094835,16.823067129775502,2.80724541059601,2.87831382614981,62.6681333333334
CNY,Юань,2019,246,9.351683902439024,9.271965000000002,8.825579999999999,9.94318,9.81498,8.85937,0.2924347138126236,0.3146678059155779,2.8190936364446473,6.99540688087517,0,-9.73623991083018,12.663190407882553,2.19807571335009,4.47202631837903,64.7376583333333
CNY,Юань,2020,243,10.50521781893004,10.5398,8.83493,12.0259,8.88696,11.3119,0.8615504044342137,0.6904735094138874,6.557874146460807,15.781862056161042,1,27.286496169668805,36.11766024179026,-2.65365450102773,3.38219796948068,72.1049083333333
CNY,Юань,2021,248,11.41969435483871,11.413799999999998,10.8993,11.8814,11.2956,11.6503,0.18359562955221786,0.4280523249552459,1.8935560777318283,9.19534832119159,0,3.1401607705655143,9.010670410026322,5.86649177292595,6.69445891957612,73.65435
CNY,Юань,2022,247,10.238587327935223,9.01556,7.69846,19.0415,11.7907,9.89492,2.443617556462087,1.5079259171689692,12.562955827714317,39.97294095652806,25,-16.07860432374667,147.3416761274333,-1.43588213859842,13.7436797398232,68.4849416666667
CNY,Юань,2023,247,12.057323886639676,12.3225,10.0016,13.8926,10.2867,12.5762,1.0025041572183735,0.5925689501542024,3.9743118472549632,13.723995735319527,0,22.256894825357023,38.903775395936655,4.08252481259281,5.86571931748967,85.1620083333333
CNY,Юань,2024,248,12.752377419354838,12.6481,11.1652,14.8382,12.5861,13.4272,0.7238181320704542,0.5960714118184203,5.350784985249735,14.72937607253107,2,6.682769086531959,32.896858094794545,4.34437475491529,8.43486410496723,92.5524
CNY,Юань,2025,247,11.527332388663968,11.2812,10.7328,13.9486,13.6934,11.1592,0.752499061936291,0.6582837681947905,3.4032356580163348,14.371308817341655,0,-18.50672586793638,29.962358378056074,,,
CNY,Юань,2026,105,11.125622857142856,11.091,10.398,12.3824,11.2856,10.6064,0.40230601877396427,0.6212930877018995,2.8337330463039434,13.335633593444337,1,-6.0182887927978985,19.084439315252943,,,
EUR,Евро,2014,247,50.992808502024296,48.8654,45.0559,84.589,45.0559,68.3427,6.486637334229635,0.9707157606506124,13.296764354703338,29.048593866041962,11,51.68424113157211,87.74233785142455,0.736267221765672,7.82016970013845,38.3782071444168
EUR,Евро,2015,247,67.99153400809716,69.6762,52.9087,81.1533,68.3681,79.6972,7.170869329513168,1.302439230454137,8.75700801982211,27.92882108030638,7,16.57073986259674,53.38365902016113,-1.97271922580408,15.5343959935701,60.9376501088951
EUR,Евро,2016,248,73.99242177419355,72.8717,63.0214,91.1814,79.6395,63.8111,5.829602440074405,0.9226438034528942,5.614880175094439,20.89840202766822,3,-19.875061998129063,44.68323458380803,0.193690071260534,7.04243725413707,67.0559333333333
EUR,Евро,2017,247,66.03046194331984,67.5344,59.6124,71.9527,63.1125,68.8668,3.4735628194374844,0.5516308394709901,2.623706908968515,11.455936126270325,0,9.117528223410588,20.700894444779937,1.82579006401834,3.68333072334495,58.3428011851719
EUR,Евро,2018,247,74.1329987854251,74.1365,67.8841,81.3942,68.2103,79.4605,3.0269694413691215,0.5733610414499086,6.910371748091038,13.659458077379757,2,16.49340348891588,19.901714834548876,2.80724541059601,2.87831382614981,62.6681333333334
EUR,Евро,2019,246,72.3187174796748,72.19435,68.4065,77.2105,76.9066,69.3406,1.7706231305008187,0.332559297212057,3.2140497479879904,7.570108063537736,0,-9.837907279739323,12.87012199133124,2.19807571335009,4.47202631837903,64.7376583333333
EUR,Евро,2020,243,82.83582427983539,83.6584,67.8162,93.757,69.3777,90.6824,7.581703050354007,0.7422682441635453,7.93276584074345,17.401148980696476,2,30.708282344326765,38.2516271923228,-2.65365450102773,3.38219796948068,72.1049083333333
EUR,Евро,2021,248,87.08612459677418,87.0153,80.7019,92.3321,90.7932,84.0695,2.906653723416992,0.399594191881899,2.384065130441626,8.901880323439745,0,-7.4055105448425635,14.411308779595021,5.86649177292595,6.69445891957612,73.65435
EUR,Евро,2022,247,72.15093360323885,63.2468,52.7379,132.9581,85.1315,75.6553,17.33580966376176,1.6240396908772416,11.6216556943741,41.102568603801785,24,-11.13124988987626,152.11110036615034,-1.43588213859842,13.7436797398232,68.4849416666667
EUR,Евро,2023,247,92.87407165991904,96.7692,72.7908,110.6847,75.0785,99.1919,9.872305224784503,0.6280455284883428,3.714244154792856,13.597757780155709,2,32.117583595836365,52.05863927859016,4.08252481259281,5.86571931748967,85.1620083333333
EUR,Евро,2024,248,100.28011129032258,99.5444,89.0914,116.141,98.9825,106.1028,4.674344256571252,0.6016895869667355,4.5102112125051335,14.373084609795509,3,7.19349379940899,30.361628619597415,4.34437475491529,8.43486410496723,92.5524
EUR,Евро,2025,247,94.052204048583,93.3356,87.5697,106.2493,105.0893,92.0938,3.7927041566649415,0.7505538206523644,3.718181060343939,16.312991418212757,0,-12.366149550905748,21.331122522973132,,,
EUR,Евро,2026,105,89.50243047619047,90.3211,81.9823,97.2886,91.9668,82.9743,3.3730821372221094,0.8095629973461711,4.372138838702799,17.37920626582066,0,-9.77798509897051,18.670249553867137,,,
GBP,Фунт стерлингов,2014,247,63.36484291497976,60.0719,53.8542,106.4701,53.8542,87.4199,8.792194027549066,0.9650532054627121,12.759356852299387,28.68194696580579,10,62.32698656743578,97.70064358954362,0.736267221765672,7.82016970013845,38.3782071444168
GBP,Фунт стерлингов,2015,247,93.73021255060729,96.334,73.6381,111.0366,87.5451,107.983,9.213133076320792,1.2138284773064911,8.302349303387624,26.13186592163389,5,23.34556702773769,50.78688885237399,-1.97271922580408,15.5343959935701,60.9376501088951
GBP,Фунт стерлингов,2016,248,90.59627177419355,86.46735000000001,73.8887,118.3987,108.2426,74.5595,11.245200895759982,0.9279236063350694,5.241885663746726,20.521475974232448,4,-31.11815495932285,60.23925173944053,0.193690071260534,7.04243725413707,67.0559333333333
GBP,Фунт стерлингов,2017,247,75.20375141700406,75.6408,69.4986,80.3605,73.0014,77.6739,2.6867592801097953,0.5966368541207089,2.312887627457161,12.242162039985823,0,6.40056218099927,15.62894792125309,1.82579006401834,3.68333072334495,58.3428011851719
GBP,Фунт стерлингов,2018,247,83.78018259109311,83.9186,76.7465,91.4076,77.2122,88.2832,3.176421393551422,0.6289368550118822,6.855171996490483,14.379606642237405,1,14.338407660965501,19.10328158287349,2.80724541059601,2.87831382614981,62.6681333333334
GBP,Фунт стерлингов,2019,246,82.42997845528456,82.2401,77.0626,87.5606,85.5599,81.146,2.5410667768782154,0.45440003189570033,3.084731862913892,9.662673820415534,0,-5.158841934130354,13.622691162768952,2.19807571335009,4.47202631837903,64.7376583333333
GBP,Фунт стерлингов,2020,243,92.88531604938271,93.0263,79.2072,103.7208,81.3069,100.0425,6.818179921844413,0.7383408371072718,7.3687286808254315,16.43751773567418,1,23.04306276589072,30.94870163318486,-2.65365450102773,3.38219796948068,72.1049083333333
GBP,Фунт стерлингов,2021,248,101.35634798387096,101.49334999999999,95.2394,107.4045,100.8477,100.0573,2.588744610856551,0.41489618083037666,2.0890157262875686,9.20759094723977,0,-0.7837560995441639,12.773180007433883,5.86649177292595,6.69445891957612,73.65435
GBP,Фунт стерлингов,2022,247,85.07916477732793,74.3739,61.0166,158.3338,102.0436,84.7919,21.433122607470054,1.7079939460616078,11.822613401918968,41.00648396371786,28,-16.906204798733093,159.49299043211192,-1.43588213859842,13.7436797398232,68.4849416666667
GBP,Фунт стерлингов,2023,247,106.88213360323886,111.2919,82.2141,128.452,84.6907,114.532,12.298269564536142,0.7031447827930186,3.975337090897757,14.4601339930472,1,35.23562799693472,56.24083946670948,4.08252481259281,5.86571931748967,85.1620083333333
