year,indicator_id,indicator_name,metric,value,last_updated
2000,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,10.0000668136515,2026-04-08
1999,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,6.39991469144101,2026-04-08
1998,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,-5.2999616266239,2026-04-08
1997,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,1.3999158052963,2026-04-08
1996,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,-3.7550694383594,2026-04-08
1995,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,-4.1435284052602,2026-04-08
1994,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,-12.5697559802151,2026-04-08
1993,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,-8.66854034260423,2026-04-08
1992,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,-14.5310737729264,2026-04-08
1991,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,-5.04693945142463,2026-04-08
1990,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,-2.99999564243126,2026-04-08
1989,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1988,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1987,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1986,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1985,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1984,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1983,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1982,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1981,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1980,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1979,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1978,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1977,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1976,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1975,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
